Station,Date,CHLA,DO,SALINITY,TN,TP,WTEMP,NW14,W14,N14,SE14,E14,S14,SW14,NE14,James_discharge,James_acc_flow_30d,James_acc_flow_60d,James_acc_flow_90d,Potomac_discharge,Potomac_acc_flow_30d,Potomac_acc_flow_60d,Potomac_acc_flow_90d,Susquehanna_discharge,Susquehanna_acc_flow_30d,Susquehanna_acc_flow_60d,Susquehanna_acc_flow_90d
CB2.1,1985-11-14,5.1,9.6,2.11,1.571,0.029,13.8,0.0,5.831037115339441,5.4189655172413795,5.149873743378755,0.0,5.533159103919627,3.463076923076923,0.0,8170,831130.0,887040.0,1149480.0,19900,970380.0,1019563.0,1098913.0,29200,417756.0,885760.0,1105480.0
CB2.1,1985-12-11,1.0,13.1,0.0,1.6883,0.0499,4.3,0.0,0.0,0.0,2.8561377490765087,2.1888888888888887,5.197638798762335,1.8,0.0,7720,359640.0,1165520.0,1222290.0,13500,725600.0,1631020.0,1680613.0,51300,2395900.0,2761906.0,3218620.0
CB2.1,1986-03-12,3.4,11.7,0.0,1.977,0.062,7.1,4.447323020317273,6.264137931034482,3.1512852902281434,0.0,3.1812499999999995,0.0,0.0,3.2595797258297257,5900,256170.0,418490.0,566250.0,11400,722000.0,994900.0,1272600.0,55800,1866800.0,3126190.0,3988620.0
CB2.1,1986-03-26,1.5,12.1,0.56,1.631,0.0532,7.5,0.0,0.0,0.0,6.847534348659084,0.0,5.325714285714286,0.0,0.0,7420,326630.0,569140.0,689390.0,13700,844700.0,1481400.0,1647100.0,78500,3289400.0,5024200.0,5830220.0
CB2.1,1986-04-09,13.3,10.9,0.0,1.888,0.0473,12.8,5.143233309774268,5.382968833016059,3.318965198074787,0.0,0.0,0.0,0.0,0.0,4740,291850.0,558640.0,705870.0,8320,708260.0,1454360.0,1689560.0,42500,3086400.0,4995400.0,6142820.0
CB2.1,1986-04-23,3.0,10.8,0.0,1.532,0.0735,9.8,5.4773168961273475,6.451498098020336,0.0,0.0,0.0,0.0,0.0,0.0,4670,157000.0,489420.0,720760.0,16300,362610.0,1271110.0,1831010.0,85600,1894800.0,5362100.0,6940200.0
CB2.1,1986-05-14,22.4,9.8,0.0,1.584,0.0714,18.5,6.691666666666666,6.244594594594595,3.6031089743589737,5.384573941114788,5.833134218081587,3.834603750756201,3.380952380952381,0.0,3140,121040.0,401920.0,645410.0,4350,325480.0,976980.0,1717280.0,16100,1633900.0,4423000.0,6534400.0
CB2.1,1986-05-28,20.4,9.0,0.0,1.413,0.0556,22.0,0.0,4.3412455673758865,1.7344736842105262,5.564171293083507,0.0,3.3019714768959543,2.769323593073593,0.0,4860,136200.0,280320.0,596680.0,7140,213480.0,572220.0,1360320.0,46600,878880.0,2706780.0,5846580.0
CB2.1,1986-06-11,7.1,7.4,0.0,1.3685,0.066,24.9,0.0,0.0,0.0,5.7991585464158275,0.0,4.795493085909234,2.8307692307692305,0.0,2260,137040.0,260330.0,548030.0,4140,177340.0,510490.0,1208000.0,41900,888680.0,2544880.0,5573980.0
CB2.1,1986-06-25,19.7,8.5,0.0,1.29,0.0752,24.0,4.740280595950353,4.707803761279371,3.35,5.733412633334252,0.0,0.0,0.0,3.36957917669992,917,81048.0,215348.0,363718.0,1600,109800.0,328620.0,689330.0,18000,1004900.0,1886380.0,3736680.0
CB2.1,1986-07-17,8.3,7.0,0.07,1.0154999999999998,0.0688,26.2,4.738165541170676,0.0,3.1733450345938485,4.545901639344262,0.0,3.940607593037215,0.0,3.0785714285714287,536,31480.0,160160.0,275600.0,1490,58610.0,229550.0,514960.0,20200,549730.0,1642330.0,3027610.0
CB2.1,1986-07-30,15.1,7.6,0.0,0.9465,0.0672,28.4,4.5600000000000005,3.79779858134398,2.592289550072569,0.0,0.0,0.0,0.0,0.0,1700,35662.0,95902.0,235492.0,1280,57190.0,142860.0,347030.0,13900,542410.0,1469930.0,2291110.0
CB2.1,1986-08-13,19.0,7.9,0.0,1.2395,0.0648,25.3,0.0,0.0,3.197250104640389,0.0,4.443478260869566,0.0,0.0,4.045383073473271,994,37219.0,72522.0,207642.0,1150,44380.0,107370.0,283040.0,18800,688080.0,1362910.0,2313490.0
CB2.1,1986-08-27,12.0,9.2,0.32,1.414,0.0499,23.5,0.0,4.669376664113506,0.0,4.443143654591023,0.0,5.354356106386095,4.593000055500055,0.0,1360,53370.0,87017.0,155752.0,1750,43682.0,101172.0,194232.0,20400,603210.0,1129940.0,2077740.0
CB2.1,1986-09-10,16.6,7.8,0.59,1.1795,0.0501,21.7,0.0,0.0,0.0,4.093371415770609,0.0,4.683994749514094,0.0,0.0,2720,63434.0,99616.0,138482.0,1140,43322.0,88642.0,155332.0,10900,407950.0,1076860.0,1809560.0
CB2.1,1986-09-24,40.6,9.7,0.0,1.0805,0.0757,21.5,0.0,4.646551282051282,0.0,0.0,0.0,6.236660007318494,3.8319148163526022,0.0,1190,54160.0,108830.0,139888.0,668,32017.0,74959.0,132669.0,8080,261840.0,879550.0,1386980.0
