datetime,NW14,W14,N14,SE14,E14,S14,SW14,NE14
1985-11-08,,5.60704927297759,,3.6,,4.581682897472371,3.5110671936758893,
1985-11-09,,,,5.016622266622266,,4.703702293757437,3.8876619047619045,
1985-11-10,,,,5.983406862745099,,5.639175308122853,,
1985-11-11,,,6.539299687010955,5.847910306068201,10.295454545454545,6.156013525219244,3.5818181818181816,
1985-11-12,,,5.873217808426142,,9.879560340022298,,,7.657220994083905
1985-11-13,,,5.68031167690957,5.245252481721468,,5.761341448322055,3.628623188405797,
1985-11-14,,5.831037115339441,5.4189655172413795,5.149873743378755,,5.533159103919627,3.463076923076923,
1985-11-15,7.793482142857143,5.7814009661835755,4.509755055078806,5.7,,5.450352320194426,3.4518518518518513,
1985-11-16,,,4.372171026921407,,10.9,,,7.993316194403759
1985-11-17,,5.6728137031408306,,5.464853740815856,,5.431849096010538,3.4384306246768093,
1985-11-18,6.938888888888888,5.488235294117646,2.7176818393426223,,9.003050595238095,5.322619047619048,3.291785714285714,5.2877777777777775
1985-11-19,,,,5.0718685352232935,6.4625,,,
1985-11-20,,,,5.2961379492766145,,5.368458326355273,,
1985-11-21,6.458544094794095,4.937357954545455,3.2344141193763583,,,,,
1985-11-22,6.371068949110746,,4.54563093398076,,,,,
1985-11-23,5.825382721723769,3.3617704517704516,4.975714285714286,5.164502908514013,3.0750000000000006,,,4.626310483870967
1985-11-24,5.60138326585695,3.454498197595729,,,,5.047254098360655,2.920815058479532,
1985-11-25,5.485179481796328,3.5196410256410258,5.042391552784341,,,,,4.53771579729784
1985-11-26,,,5.143126705653021,,2.9804675417175415,,,4.184558266334582
1985-11-27,5.317283722205091,,4.857901430318846,,,,,3.988888888888889
1985-11-28,5.2749999999999995,,4.922252818226494,,,,,4.044348898493635
1985-11-29,5.373469387755103,,5.0212698027289155,,,,,
1985-11-30,,,5.3019297069157805,,,,,4.080487804878049
1985-12-01,4.933134006904229,,5.728899890082467,,,,,
