YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 01 00 262  2.9  3.7 99.00 99.00 99.00 999 1021.8  -2.6   3.5 999.0 99.0
1999 01 01 01 274  1.8  2.3 99.00 99.00 99.00 999 1021.6  -2.6   3.5 999.0 99.0
1999 01 01 02 259  2.5  2.9 99.00 99.00 99.00 999 1021.5  -2.4   3.9 999.0 99.0
1999 01 01 03 230  2.9  3.3 99.00 99.00 99.00 999 1021.8  -2.1   4.1 999.0 99.0
1999 01 01 04 249  2.1  2.5 99.00 99.00 99.00 999 1021.7  -2.2   4.0 999.0 99.0
1999 01 01 05 236  2.7  3.3 99.00 99.00 99.00 999 1022.0  -2.0   4.0 999.0 99.0
1999 01 01 06 267  1.6  2.0 99.00 99.00 99.00 999 1021.5  -2.1   4.2 999.0 99.0
1999 01 01 07 267  2.4  3.2 99.00 99.00 99.00 999 1021.6  -1.7   3.8 999.0 99.0
1999 01 01 08 225  2.4  2.6 99.00 99.00 99.00 999 1021.6  -1.4   4.2 999.0 99.0
1999 01 01 09 219  4.0  4.3 99.00 99.00 99.00 999 1021.7  -1.8   3.8 999.0 99.0
1999 01 01 10 271  4.9  5.4 99.00 99.00 99.00 999 1021.7  -1.9   3.9 999.0 99.0
1999 01 01 11 267  5.3  6.0 99.00 99.00 99.00 999 1022.3  -3.4   3.4 999.0 99.0
1999 01 01 12 292  9.8 11.0 99.00 99.00 99.00 999 1023.5  -2.3   3.3 999.0 99.0
1999 01 01 13 291  7.6  8.6 99.00 99.00 99.00 999 1024.4  -1.9   3.5 999.0 99.0
1999 01 01 14 280  6.2  7.0 99.00 99.00 99.00 999 1025.9  -2.1   4.2 999.0 99.0
1999 01 01 15 287  9.2 10.6 99.00 99.00 99.00 999 1027.1  -1.1   4.2 999.0 99.0
1999 01 01 16 308 10.9 12.9 99.00 99.00 99.00 999 1027.7  -1.1   4.3 999.0 99.0
1999 01 01 17 290 10.1 11.3 99.00 99.00 99.00 999 1027.7  -1.5   4.1 999.0 99.0
1999 01 01 18 299 10.1 11.5 99.00 99.00 99.00 999 1027.7  -1.3   3.9 999.0 99.0
1999 01 01 19 314  9.8 10.6 99.00 99.00 99.00 999 1028.1  -1.7   3.7 999.0 99.0
1999 01 01 20 307  9.1 11.4 99.00 99.00 99.00 999 1029.0  -1.7   3.8 999.0 99.0
1999 01 01 21 311  8.7  9.8 99.00 99.00 99.00 999 1029.7  -1.8   4.0 999.0 99.0
1999 01 01 22 319  8.0  8.9 99.00 99.00 99.00 999 1030.6  -1.8   4.0 999.0 99.0
1999 01 01 23 310  5.9  6.4 99.00 99.00 99.00 999 1032.1  -2.2   3.8 999.0 99.0
1999 01 02 00 313  6.4  7.8 99.00 99.00 99.00 999 1033.3  -2.7   3.3 999.0 99.0
1999 01 02 01 321  8.1  9.7 99.00 99.00 99.00 999 1033.7  -3.1   2.7 999.0 99.0
1999 01 02 02 331  6.6  8.6 99.00 99.00 99.00 999 1034.5  -3.2   2.9 999.0 99.0
1999 01 02 03 323  7.8  9.3 99.00 99.00 99.00 999 1034.9  -3.7   2.9 999.0 99.0
1999 01 02 04 343  6.2  7.4 99.00 99.00 99.00 999 1035.8  -3.5   2.8 999.0 99.0
1999 01 02 05   4  9.3 10.5 99.00 99.00 99.00 999 1036.1  -4.0   2.7 999.0 99.0
1999 01 02 06   9  8.7  9.9 99.00 99.00 99.00 999 1036.1  -4.0   2.6 999.0 99.0
1999 01 02 07  38  7.0  7.7 99.00 99.00 99.00 999 1037.0  -4.7   2.6 999.0 99.0
1999 01 02 08  53  6.8  7.8 99.00 99.00 99.00 999 1037.4  -5.4   2.4 999.0 99.0
1999 01 02 09  57  7.4  8.3 99.00 99.00 99.00 999 1037.7  -6.1   2.3 999.0 99.0
1999 01 02 10  42  7.4  8.5 99.00 99.00 99.00 999 1037.4  -6.4   1.7 999.0 99.0
1999 01 02 11  56  5.8  6.9 99.00 99.00 99.00 999 1037.6  -6.7   1.9 999.0 99.0
1999 01 02 12  69  6.0  6.9 99.00 99.00 99.00 999 1038.0  -7.1   1.4 999.0 99.0
1999 01 02 13  58  5.9  7.1 99.00 99.00 99.00 999 1038.2  -7.3   1.4 999.0 99.0
1999 01 02 14  61  3.4  4.2 99.00 99.00 99.00 999 1039.2  -7.7   1.6 999.0 99.0
1999 01 02 15  46  5.6  6.3 99.00 99.00 99.00 999 1038.2  -7.6   1.7 999.0 99.0
1999 01 02 16  51  3.5  4.4 99.00 99.00 99.00 999 1038.2  -7.4   1.6 999.0 99.0
1999 01 02 17  41  4.9  6.2 99.00 99.00 99.00 999 1037.1  -7.0   1.7 999.0 99.0
1999 01 02 18  66  5.7  7.4 99.00 99.00 99.00 999 1034.5  -6.6   1.7 999.0 99.0
1999 01 02 19  55  3.2  4.2 99.00 99.00 99.00 999 1034.2  -6.1   1.9 999.0 99.0
1999 01 02 20  59  5.9  7.3 99.00 99.00 99.00 999 1032.6  -5.9   2.3 999.0 99.0
1999 01 02 21  73  7.9  9.1 99.00 99.00 99.00 999 1031.5  -5.8   2.4 999.0 99.0
1999 01 02 22  65  7.8  9.9 99.00 99.00 99.00 999 1030.4  -5.6   2.6 999.0 99.0
1999 01 02 23  65  7.0  8.4 99.00 99.00 99.00 999 1029.8  -5.2   2.6 999.0 99.0
1999 01 03 00  59  8.1  9.0 99.00 99.00 99.00 999 1028.7  -5.0   2.5 999.0 99.0
1999 01 03 01  45  6.3  7.6 99.00 99.00 99.00 999 1027.4  -5.0   2.4 999.0 99.0
1999 01 03 02  37  6.1  7.4 99.00 99.00 99.00 999 1026.1  -4.2   2.4 999.0 99.0
1999 01 03 03  43  7.4  8.3 99.00 99.00 99.00 999 1023.6  -3.1   2.6 999.0 99.0
1999 01 03 04  37  7.4  8.6 99.00 99.00 99.00 999 1020.9  -1.4   3.2 999.0 99.0
1999 01 03 05  42  8.1  8.6 99.00 99.00 99.00 999 1018.0    .4   3.6 999.0 99.0
1999 01 03 06  51  4.7  4.9 99.00 99.00 99.00 999 1015.1   2.3   3.8 999.0 99.0
1999 01 03 07 101  8.7  9.7 99.00 99.00 99.00 999 1012.3   7.4   4.2 999.0 99.0
1999 01 03 08 118 11.0 12.1 99.00 99.00 99.00 999 1009.8  10.2   4.3 999.0 99.0
1999 01 03 09 129 15.0 16.8 99.00 99.00 99.00 999 1006.9  11.5   4.4 999.0 99.0
1999 01 03 10 137 15.7 20.4 99.00 99.00 99.00 999 1004.7  11.3   4.7 999.0 99.0
1999 01 03 11 140 17.6 19.9 99.00 99.00 99.00 999 1003.0  12.2   4.9 999.0 99.0
1999 01 03 12 204  7.4  7.6 99.00 99.00 99.00 999 1005.4   8.8   4.8 999.0 99.0
1999 01 03 13 159  6.1  6.6 99.00 99.00 99.00 999 1004.4   9.2   4.8 999.0 99.0
1999 01 03 14 152  8.0  8.3 99.00 99.00 99.00 999 1003.2  11.1   4.8 999.0 99.0
1999 01 03 15 289  8.4  9.5 99.00 99.00 99.00 999 1004.4   6.7   4.7 999.0 99.0
1999 01 03 16 294  6.7  7.0 99.00 99.00 99.00 999 1004.7   6.6   4.8 999.0 99.0
1999 01 03 17 287  4.9  5.6 99.00 99.00 99.00 999 1004.1   7.5   4.9 999.0 99.0
1999 01 03 18 291  6.7  7.5 99.00 99.00 99.00 999 1003.5  10.1   5.0 999.0 99.0
1999 01 03 19 295  7.8  8.4 99.00 99.00 99.00 999 1003.8  10.6   5.0 999.0 99.0
1999 01 03 20 275 11.3 12.6 99.00 99.00 99.00 999 1005.4   9.5   5.0 999.0 99.0
1999 01 03 21 283  7.7  8.9 99.00 99.00 99.00 999 1006.5   8.5   5.0 999.0 99.0
1999 01 03 22 288  7.6  9.0 99.00 99.00 99.00 999 1007.4   7.0   4.9 999.0 99.0
1999 01 03 23 303  8.4  9.3 99.00 99.00 99.00 999 1008.8   5.8   4.8 999.0 99.0
1999 01 04 00 296  8.0  8.8 99.00 99.00 99.00 999 1010.3   4.7   4.8 999.0 99.0
1999 01 04 01 301  6.6  8.8 99.00 99.00 99.00 999 1011.2   3.3   4.6 999.0 99.0
