YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 01 00 276  9.9 11.2 99.00 99.00 99.00 999 1017.4   0.1   0.8 999.0 99.0 99.00
2001 01 01 01 277  7.7  8.6 99.00 99.00 99.00 999 1018.0  -0.1   0.6 999.0 99.0 99.00
2001 01 01 02 304 12.1 13.6 99.00 99.00 99.00 999 1018.9  -0.5   0.7 999.0 99.0 99.00
2001 01 01 03 291  7.0  7.8 99.00 99.00 99.00 999 1019.7  -0.8   0.7 999.0 99.0 99.00
2001 01 01 04 290  6.4  7.3 99.00 99.00 99.00 999 1020.0  -1.1   0.6 999.0 99.0 99.00
2001 01 01 05 287  5.7  7.1 99.00 99.00 99.00 999 1020.7  -1.2   0.3 999.0 99.0 99.00
2001 01 01 06 258  4.4  5.0 99.00 99.00 99.00 999 1021.1  -1.3   0.2 999.0 99.0 99.00
2001 01 01 07 256  3.9  4.2 99.00 99.00 99.00 999 1021.3  -1.7   0.1 999.0 99.0 99.00
2001 01 01 08 281  3.8  4.3 99.00 99.00 99.00 999 1021.6  -1.9   0.0 999.0 99.0 99.00
2001 01 01 09 270  2.8  3.4 99.00 99.00 99.00 999 1021.7  -2.1   0.0 999.0 99.0 99.00
2001 01 01 10 291  4.0  4.5 99.00 99.00 99.00 999 1022.3  -2.4   0.0 999.0 99.0 99.00
2001 01 01 11 285  3.3  4.0 99.00 99.00 99.00 999 1023.1  -2.4   0.0 999.0 99.0 99.00
2001 01 01 12 291  4.6  4.9 99.00 99.00 99.00 999 1023.7  -2.5   0.0 999.0 99.0 99.00
2001 01 01 13 278  5.2  6.1 99.00 99.00 99.00 999 1024.3  -2.6   0.2 999.0 99.0 99.00
2001 01 01 14 287  6.0  6.5 99.00 99.00 99.00 999 1024.9  -2.3   0.4 999.0 99.0 99.00
2001 01 01 15 307  7.0  7.6 99.00 99.00 99.00 999 1024.9  -1.6   0.3 999.0 99.0 99.00
2001 01 01 16 315  7.7  9.0 99.00 99.00 99.00 999 1024.5  -0.6   0.4 999.0 99.0 99.00
2001 01 01 17 322  5.6  6.5 99.00 99.00 99.00 999 1023.6   0.3   0.3 999.0 99.0 99.00
2001 01 01 18 346  3.1  3.6 99.00 99.00 99.00 999 1023.0   0.8   0.2 999.0 99.0 99.00
2001 01 01 19 306  3.0  3.4 99.00 99.00 99.00 999 1022.8   1.2   0.2 999.0 99.0 99.00
2001 01 01 20 319  4.4  6.0 99.00 99.00 99.00 999 1022.9   1.7   0.4 999.0 99.0 99.00
2001 01 01 21 300  5.6  6.1 99.00 99.00 99.00 999 1023.3   1.6   0.4 999.0 99.0 99.00
2001 01 01 22 310  3.4  4.3 99.00 99.00 99.00 999 1023.7   1.4   0.4 999.0 99.0 99.00
2001 01 01 23 308  5.9  6.7 99.00 99.00 99.00 999 1024.2   0.8   0.4 999.0 99.0 99.00
2001 01 02 00 302  6.0  6.9 99.00 99.00 99.00 999 1024.7   0.5   0.4 999.0 99.0 99.00
2001 01 02 01 318  6.3  8.2 99.00 99.00 99.00 999 1024.9   0.3   0.4 999.0 99.0 99.00
2001 01 02 02 316  6.2  7.2 99.00 99.00 99.00 999 1024.8   0.1   0.4 999.0 99.0 99.00
2001 01 02 03 320  6.8  7.5 99.00 99.00 99.00 999 1024.9   0.0   0.4 999.0 99.0 99.00
