YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 01 00 170  5.7  6.0 99.00 99.00 99.00 999 1023.1   5.5   4.6   3.2 99.0 99.00
2004 01 01 01 173  5.9  6.1 99.00 99.00 99.00 999 1023.1   5.6   4.3   3.0 99.0 99.00
2004 01 01 02 185  6.7  7.2 99.00 99.00 99.00 999 1022.6   5.9   4.6   2.5 99.0 99.00
2004 01 01 03 233  2.2  2.6 99.00 99.00 99.00 999 1022.8   6.2   4.6   1.1 99.0 99.00
2004 01 01 04 268  3.7  3.8 99.00 99.00 99.00 999 1022.9   6.9   4.6  -3.0 99.0 99.00
2004 01 01 05 264  3.1  3.3 99.00 99.00 99.00 999 1022.8   6.8   4.5  -4.2 99.0 99.00
2004 01 01 06 235  3.2  3.4 99.00 99.00 99.00 999 1023.0   6.2   4.5  -3.3 99.0 99.00
2004 01 01 07 272  2.2  2.3 99.00 99.00 99.00 999 1024.0   6.2   4.3  -3.5 99.0 99.00
2004 01 01 08 298  6.2  6.5 99.00 99.00 99.00 999 1024.3   8.2   4.3  -5.1 99.0 99.00
2004 01 01 09 301  6.3  6.9 99.00 99.00 99.00 999 1024.5   8.6   4.4  -4.3 99.0 99.00
2004 01 01 10 311  5.7  6.0 99.00 99.00 99.00 999 1025.2   8.5   4.2  -4.4 99.0 99.00
2004 01 01 11 319  4.8  5.5 99.00 99.00 99.00 999 1026.3   7.7   4.2  -4.1 99.0 99.00
2004 01 01 12 319  5.7  6.1 99.00 99.00 99.00 999 1027.2   7.8   4.2  -2.3 99.0 99.00
2004 01 01 13 322  3.9  4.5 99.00 99.00 99.00 999 1028.4   7.7   4.2  -2.0 99.0 99.00
2004 01 01 14 297  3.8  4.2 99.00 99.00 99.00 999 1029.5   8.1   4.1  -2.0 99.0 99.00
2004 01 01 15 297  3.0  3.4 99.00 99.00 99.00 999 1030.3   8.2   4.1  -2.6 99.0 99.00
2004 01 01 16 316  2.1  2.6 99.00 99.00 99.00 999 1030.0   8.0   4.4  -1.8 99.0 99.00
2004 01 01 17 280  5.5  5.9 99.00 99.00 99.00 999 1028.6   9.1   4.5  -4.5 99.0 99.00
2004 01 01 18 283  4.1  4.5 99.00 99.00 99.00 999 1028.3   9.9   4.5  -6.0 99.0 99.00
2004 01 01 19 292  4.1  4.5 99.00 99.00 99.00 999 1028.3  10.1   4.6  -6.1 99.0 99.00
2004 01 01 20 289  4.8  5.2 99.00 99.00 99.00 999 1028.1  10.6   4.7  -7.6 99.0 99.00
2004 01 01 21 316  2.6  3.0 99.00 99.00 99.00 999 1027.8  11.0   4.7  -7.8 99.0 99.00
2004 01 01 22  49  2.2  2.2 99.00 99.00 99.00 999 1027.8   9.5   4.6  -6.3 99.0 99.00
2004 01 01 23  76  3.3  3.4 99.00 99.00 99.00 999 1028.0   9.0   4.6  -6.3 99.0 99.00
2004 01 02 00 100  3.5  3.6 99.00 99.00 99.00 999 1028.0   7.9   4.3  -6.5 99.0 99.00
2004 01 02 01 121  4.3  4.4 99.00 99.00 99.00 999 1027.9   7.6   4.4  -6.2 99.0 99.00
