#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 01 00 00  20  0.9  1.2 99.00 99.00 99.00 999 1018.8   1.3   3.6   1.3 99.0 99.00
2010 01 01 01 00 344  1.6  2.1 99.00 99.00 99.00 999 1018.8   1.3   3.7   1.3 99.0 99.00
2010 01 01 02 00   2  1.6  1.9 99.00 99.00 99.00 999 1017.8   1.3   3.7   1.3 99.0 99.00
2010 01 01 03 00  45  1.8  2.2 99.00 99.00 99.00 999 1017.4   1.4   3.8   1.4 99.0 99.00
2010 01 01 04 00  42  0.5  0.8 99.00 99.00 99.00 999 1017.4   1.5   3.7   1.5 99.0 99.00
2010 01 01 05 00  39  0.3  0.7 99.00 99.00 99.00 999 1016.7   1.5   3.8   1.5 99.0 99.00
2010 01 01 06 00 350  3.0  3.2 99.00 99.00 99.00 999 1016.4   1.5   3.7   1.5 99.0 99.00
2010 01 01 07 00 332  2.5  2.7 99.00 99.00 99.00 999 1016.4   1.4   3.8   1.4 99.0 99.00
2010 01 01 08 00 339  2.1  2.3 99.00 99.00 99.00 999 1016.5   1.4   3.9   1.4 99.0 99.00
2010 01 01 09 00 342  3.2  3.4 99.00 99.00 99.00 999 1015.7   1.4   3.9   1.4 99.0 99.00
2010 01 01 10 00 354  2.4  2.6 99.00 99.00 99.00 999 1015.5   1.4   3.9   1.4 99.0 99.00
2010 01 01 11 00 290  1.0  1.2 99.00 99.00 99.00 999 1015.9   1.2   3.9   1.2 99.0 99.00
2010 01 01 12 00 289  1.8  2.1 99.00 99.00 99.00 999 1015.6   0.8   3.6   0.7 99.0 99.00
2010 01 01 13 00 287  1.9  2.3 99.00 99.00 99.00 999 1015.8   0.8   3.6   0.8 99.0 99.00
2010 01 01 14 00 265  1.4  1.6 99.00 99.00 99.00 999 1015.8   0.5   3.8   0.5 99.0 99.00
2010 01 01 15 00 261  2.5  2.8 99.00 99.00 99.00 999 1016.2   0.4   3.8   0.4 99.0 99.00
2010 01 01 16 00 282  2.2  2.5 99.00 99.00 99.00 999 1015.4   0.9   3.7   0.9 99.0 99.00
2010 01 01 17 00 273  1.4  1.6 99.00 99.00 99.00 999 1014.3   1.9   3.6   1.9 99.0 99.00
2010 01 01 18 00   0  0.0  0.4 99.00 99.00 99.00 999 1013.6   4.0   3.7   3.9 99.0 99.00
2010 01 01 19 00 327  5.9  6.5 99.00 99.00 99.00 999 1013.1   5.5   3.7   1.8 99.0 99.00
2010 01 01 20 00 313  6.1  7.3 99.00 99.00 99.00 999 1012.9   5.6   3.9   1.5 99.0 99.00
2010 01 01 21 00 311  6.7  7.4 99.00 99.00 99.00 999 1012.6   5.5   4.0   1.1 99.0 99.00
2010 01 01 22 00 318  4.2  4.8 99.00 99.00 99.00 999 1012.9   5.0   3.9   1.0 99.0 99.00
2010 01 01 23 00 311  5.9  7.2 99.00 99.00 99.00 999 1012.9   4.5   3.9   0.1 99.0 99.00
2010 01 02 00 00 320 12.9 14.2 99.00 99.00 99.00 999 1012.6   3.7   3.9  -1.0 99.0 99.00
2010 01 02 01 00 323  9.0 10.8 99.00 99.00 99.00 999 1012.8   2.4   3.9  -2.5 99.0 99.00
2010 01 02 02 00 317 12.6 14.8 99.00 99.00 99.00 999 1012.8   0.7   3.9  -5.5 99.0 99.00
2010 01 02 03 00 320  8.8 10.0 99.00 99.00 99.00 999 1012.9   0.0   3.9  -6.3 99.0 99.00
2010 01 02 04 00 313  9.7 11.8 99.00 99.00 99.00 999 1012.6  -0.6   3.9  -6.2 99.0 99.00
2010 01 02 05 00 315 10.3 11.6 99.00 99.00 99.00 999 1012.2  -1.0   3.9  -7.0 99.0 99.00
2010 01 02 06 00 311 11.9 15.0 99.00 99.00 99.00 999 1011.8  -1.2   3.8  -7.5 99.0 99.00
2010 01 02 07 00 321  9.9 11.1 99.00 99.00 99.00 999 1012.3  -1.4   3.8  -8.3 99.0 99.00
2010 01 02 08 00 305  7.2  7.7 99.00 99.00 99.00 999 1012.6  -1.6   3.7  -7.8 99.0 99.00
2010 01 02 09 00 313  9.7 10.6 99.00 99.00 99.00 999 1012.1  -2.0   3.6  -8.1 99.0 99.00
2010 01 02 10 00 314 11.5 13.6 99.00 99.00 99.00 999 1011.8  -2.1   3.2  -8.5 99.0 99.00
2010 01 02 11 00 307 10.2 11.7 99.00 99.00 99.00 999 1011.9  -2.1   3.3  -8.0 99.0 99.00
2010 01 02 12 00 307 11.8 14.4 99.00 99.00 99.00 999 1011.6  -2.4   3.4  -8.1 99.0 99.00
2010 01 02 13 00 301 12.3 15.1 99.00 99.00 99.00 999 1011.6  -2.7   2.8  -8.7 99.0 99.00
2010 01 02 14 00 310 13.3 16.1 99.00 99.00 99.00 999 1011.8  -2.6   3.3  -9.2 99.0 99.00
2010 01 02 15 00 310 11.9 14.0 99.00 99.00 99.00 999 1012.1  -2.7   3.5 -10.1 99.0 99.00
2010 01 02 16 00 315 14.5 16.5 99.00 99.00 99.00 999 1011.5  -2.9   3.5 -10.2 99.0 99.00
2010 01 02 17 00 307 14.0 16.7 99.00 99.00 99.00 999 1011.0  -2.7   3.6 -10.8 99.0 99.00
2010 01 02 18 00 309 15.2 17.2 99.00 99.00 99.00 999 1010.2  -2.4   3.7 -11.0 99.0 99.00
2010 01 02 19 00 312 15.1 17.8 99.00 99.00 99.00 999 1010.5  -2.5   3.4 -10.9 99.0 99.00
2010 01 02 20 00 320 15.3 19.3 99.00 99.00 99.00 999 1011.1  -2.7   3.5 -12.4 99.0 99.00
2010 01 02 21 00 309 14.3 17.0 99.00 99.00 99.00 999 1011.8  -2.9   3.2 -11.2 99.0 99.00
2010 01 02 22 00 317 11.8 16.0 99.00 99.00 99.00 999 1012.7  -3.3   2.5 -11.4 99.0 99.00
2010 01 02 23 00 315 11.0 12.5 99.00 99.00 99.00 999 1013.6  -3.6   2.4 -10.7 99.0 99.00
2010 01 03 00 00 308 14.5 16.6 99.00 99.00 99.00 999 1013.6  -4.3   2.1 -11.8 99.0 99.00
2010 01 03 01 00 316 14.1 16.4 99.00 99.00 99.00 999 1013.7  -4.7   2.7 -12.6 99.0 99.00
2010 01 03 02 00 310 14.6 18.3 99.00 99.00 99.00 999 1013.5  -5.1   3.0 -12.1 99.0 99.00
2010 01 03 03 00 314 13.4 16.2 99.00 99.00 99.00 999 1013.5  -5.2   3.0 -10.9 99.0 99.00
2010 01 03 05 00 311 11.2 14.2 99.00 99.00 99.00 999 1013.2  -6.3   3.0 -13.0 99.0 99.00
2010 01 03 06 00 301 14.2 16.4 99.00 99.00 99.00 999 1012.4  -6.7   2.9 -12.6 99.0 99.00
2010 01 03 07 00 302 12.8 14.9 99.00 99.00 99.00 999 1012.9  -7.0   2.8 -13.4 99.0 99.00
2010 01 03 08 00 310 16.1 17.9 99.00 99.00 99.00 999 1011.9  -7.4   2.8 -14.1 99.0 99.00
2010 01 03 09 00 302 13.6 16.0 99.00 99.00 99.00 999 1011.5  -7.5   2.2 -13.6 99.0 99.00
2010 01 03 10 00 303 15.3 18.6 99.00 99.00 99.00 999 1010.9  -7.9   1.1 -14.5 99.0 99.00
2010 01 03 11 00 298 16.4 18.3 99.00 99.00 99.00 999 1010.1  -7.9   1.7 -14.1 99.0 99.00
2010 01 03 12 00 293 13.9 16.4 99.00 99.00 99.00 999 1010.6  -7.8   1.5 -13.5 99.0 99.00
2010 01 03 13 00 297 13.3 16.9 99.00 99.00 99.00 999 1010.9  -7.6   0.5 -13.8 99.0 99.00
2010 01 03 14 00 304 13.3 16.0 99.00 99.00 99.00 999 1010.4  -7.3   1.9 -13.7 99.0 99.00
2010 01 03 15 00 297 14.8 16.7 99.00 99.00 99.00 999 1009.4  -6.6   2.4 -13.9 99.0 99.00
2010 01 03 16 00 304 16.8 19.6 99.00 99.00 99.00 999 1008.8  -5.8   2.4 -13.4 99.0 99.00
2010 01 03 17 00 296 13.6 14.6 99.00 99.00 99.00 999 1007.8  -4.8   2.5 -13.0 99.0 99.00
2010 01 03 18 00 292 13.8 15.9 99.00 99.00 99.00 999 1007.3  -3.9   2.4 -11.6 99.0 99.00
2010 01 03 19 00 300 13.6 16.2 99.00 99.00 99.00 999 1007.6  -3.4   2.4 -12.3 99.0 99.00
2010 01 03 20 00 310 15.1 17.4 99.00 99.00 99.00 999 1007.5  -2.7   2.4 -11.0 99.0 99.00
2010 01 03 21 00 298 14.0 15.6 99.00 99.00 99.00 999 1008.4  -3.0   0.9 -11.4 99.0 99.00
2010 01 03 22 00 314 14.2 99.0 99.00 99.00 99.00 999 9999.0  -3.4 999.0 999.0 99.0 99.00
