#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 01 00 00 216  5.0  5.4 99.00 99.00 99.00 999 1027.6   1.6   5.2 -11.7 99.0 99.00
2015 01 01 01 00 214  4.9  5.5 99.00 99.00 99.00 999 1027.2   1.6   5.2 -11.0 99.0 99.00
2015 01 01 02 00 226  4.8  5.4 99.00 99.00 99.00 999 1026.4   1.5   5.2  -8.7 99.0 99.00
2015 01 01 03 00 218  5.0  5.6 99.00 99.00 99.00 999 1025.9   1.1   5.3  -8.1 99.0 99.00
2015 01 01 04 00 246  5.5  6.1 99.00 99.00 99.00 999 1025.7   0.8   5.3  -7.4 99.0 99.00
2015 01 01 05 00 277  3.3  3.8 99.00 99.00 99.00 999 1025.8   0.0   5.2  -7.3 99.0 99.00
2015 01 01 06 00 258  4.3  4.5 99.00 99.00 99.00 999 1025.4   0.2   5.3  -7.4 99.0 99.00
2015 01 01 07 00 258  4.2  4.5 99.00 99.00 99.00 999 1025.2  -0.1   5.1  -7.0 99.0 99.00
2015 01 01 08 00 240  5.5  6.0 99.00 99.00 99.00 999 1024.8  -0.2   5.2  -7.0 99.0 99.00
2015 01 01 09 00 237  6.1  6.9 99.00 99.00 99.00 999 1024.4   0.1   5.1  -8.0 99.0 99.00
2015 01 01 10 00 234  5.4  6.2 99.00 99.00 99.00 999 1024.3  -0.2   5.1  -8.2 99.0 99.00
2015 01 01 11 00 244  7.1  7.8 99.00 99.00 99.00 999 1024.5  -0.2   4.7  -8.8 99.0 99.00
2015 01 01 12 00 243  6.5  7.5 99.00 99.00 99.00 999 1024.3   0.0   4.7  -8.5 99.0 99.00
2015 01 01 13 00 233  7.2  7.8 99.00 99.00 99.00 999 1024.7  -0.1   4.7  -8.4 99.0 99.00
2015 01 01 14 00 234  8.3  9.3 99.00 99.00 99.00 999 1025.5   0.3   4.8  -7.0 99.0 99.00
2015 01 01 15 00 240  6.9  7.5 99.00 99.00 99.00 999 1025.4   1.1   4.9  -7.8 99.0 99.00
2015 01 01 16 00 235  5.6  6.1 99.00 99.00 99.00 999 1024.4   2.0   5.2  -8.0 99.0 99.00
2015 01 01 17 00 228  7.2  8.1 99.00 99.00 99.00 999 1022.7   3.4   5.2  -9.1 99.0 99.00
2015 01 01 18 00 231  6.9  7.2 99.00 99.00 99.00 999 1021.1   4.3   5.4  -7.6 99.0 99.00
2015 01 01 19 00 235  6.2  7.6 99.00 99.00 99.00 999 1020.3   4.9   5.6  -7.4 99.0 99.00
2015 01 01 20 00 242  7.5  8.2 99.00 99.00 99.00 999 1019.7   5.5   5.4  -8.1 99.0 99.00
2015 01 01 21 00 224  6.1  7.3 99.00 99.00 99.00 999 1020.0   5.7   5.1  -8.1 99.0 99.00
2015 01 01 22 00 216  5.7  6.0 99.00 99.00 99.00 999 1020.0   5.6   5.3  -6.8 99.0 99.00
2015 01 01 23 00 207  5.5  6.0 99.00 99.00 99.00 999 1019.7   5.5   5.3  -5.0 99.0 99.00
2015 01 02 00 00 198  7.8  8.8 99.00 99.00 99.00 999 1019.8   5.6   5.4  -3.3 99.0 99.00
2015 01 02 01 00 194  8.2  9.4 99.00 99.00 99.00 999 1019.3   5.4   5.4  -2.6 99.0 99.00
2015 01 02 02 00 207  9.0  9.6 99.00 99.00 99.00 999 1019.3   5.3   5.2  -3.1 99.0 99.00
2015 01 02 03 00 221  7.9  8.6 99.00 99.00 99.00 999 1019.9   5.2   5.4  -3.8 99.0 99.00
2015 01 02 04 00 224  6.2  6.7 99.00 99.00 99.00 999 1020.1   5.0   5.4  -3.6 99.0 99.00
2015 01 02 05 00 239  3.2  3.7 99.00 99.00 99.00 999 1020.2   4.8   5.3  -2.8 99.0 99.00
2015 01 02 06 00 309  3.0  3.6 99.00 99.00 99.00 999 1020.9   3.9   5.4  -3.9 99.0 99.00
2015 01 02 07 00 248  2.7  3.1 99.00 99.00 99.00 999 1021.3   4.0   5.4  -2.9 99.0 99.00
2015 01 02 08 00 237  3.2  4.1 99.00 99.00 99.00 999 1022.3   4.1   5.3  -3.4 99.0 99.00
2015 01 02 09 00 260  3.9  4.4 99.00 99.00 99.00 999 1022.5   4.4   5.4  -4.8 99.0 99.00
2015 01 02 10 00 291  3.0  3.3 99.00 99.00 99.00 999 1022.7   4.0   5.1  -5.0 99.0 99.00
2015 01 02 11 00 302  3.3  3.7 99.00 99.00 99.00 999 1023.6   3.8   5.1  -5.7 99.0 99.00
2015 01 02 12 00 310  2.7  3.1 99.00 99.00 99.00 999 1024.1   3.9   5.1  -5.2 99.0 99.00
2015 01 02 13 00 315  3.2  3.6 99.00 99.00 99.00 999 1025.4   3.7   5.2  -5.6 99.0 99.00
2015 01 02 14 00 299  2.2  2.4 99.00 99.00 99.00 999 1026.4   3.5   5.0  -4.9 99.0 99.00
2015 01 02 15 00 295  4.6  5.8 99.00 99.00 99.00 999 1027.3   4.0   5.1  -5.4 99.0 99.00
2015 01 02 16 00 290  4.5  5.0 99.00 99.00 99.00 999 1027.5   4.6   5.0  -5.9 99.0 99.00
2015 01 02 17 00 301  3.9  4.2 99.00 99.00 99.00 999 1026.7   5.3   5.1  -5.9 99.0 99.00
2015 01 02 18 00 286  3.2  3.3 99.00 99.00 99.00 999 1026.6   6.1   5.4  -5.1 99.0 99.00
2015 01 02 19 00 301  3.9  4.3 99.00 99.00 99.00 999 1026.6   7.0   5.4  -5.2 99.0 99.00
2015 01 02 20 00 295  4.1  4.5 99.00 99.00 99.00 999 1027.5   7.5   5.2  -5.8 99.0 99.00
2015 01 02 21 00 319  4.9  5.5 99.00 99.00 99.00 999 1027.7   7.5   5.2  -5.7 99.0 99.00
2015 01 02 22 00 328  3.3  3.7 99.00 99.00 99.00 999 1028.4   7.1   5.1  -6.1 99.0 99.00
2015 01 02 23 00 316  1.3  1.5 99.00 99.00 99.00 999 1029.1   6.5   5.1  -5.8 99.0 99.00
2015 01 03 00 00 174  3.1  3.3 99.00 99.00 99.00 999 1030.1   5.6   4.9  -0.3 99.0 99.00
2015 01 03 01 00 256  1.1  1.2 99.00 99.00 99.00 999 1030.6   5.6   5.1  -1.6 99.0 99.00
2015 01 03 02 00 231  1.5  1.8 99.00 99.00 99.00 999 1031.0   4.6   5.0  -0.6 99.0 99.00
2015 01 03 03 00 279  0.3  0.6 99.00 99.00 99.00 999 1031.2   4.3   4.6   0.7 99.0 99.00
2015 01 03 04 00 261  0.6  0.7 99.00 99.00 99.00 999 1031.6   3.8   4.3   1.5 99.0 99.00
2015 01 03 05 00  35  1.6  1.8 99.00 99.00 99.00 999 1031.5   3.4   4.4   1.2 99.0 99.00
2015 01 03 06 00  28  0.4  0.5 99.00 99.00 99.00 999 1032.1   3.0   4.9   1.7 99.0 99.00
2015 01 03 07 00 356  0.8  1.0 99.00 99.00 99.00 999 1032.8   2.7   5.3   1.0 99.0 99.00
2015 01 03 08 00  35  2.9  3.3 99.00 99.00 99.00 999 1033.4   3.1   5.2   2.1 99.0 99.00
2015 01 03 09 00  47  3.7  4.1 99.00 99.00 99.00 999 1033.0   3.0   5.1   0.5 99.0 99.00
2015 01 03 10 00  85  2.7  3.2 99.00 99.00 99.00 999 1033.4   3.0   5.0  -1.1 99.0 99.00
2015 01 03 11 00  78  4.5  4.9 99.00 99.00 99.00 999 1033.3   3.3   5.0  -2.2 99.0 99.00
2015 01 03 12 00  97  5.6  6.2 99.00 99.00 99.00 999 1033.6   3.0   4.5  -1.5 99.0 99.00
2015 01 03 13 00 108  4.1  4.4 99.00 99.00 99.00 999 1034.9   3.2   4.5  -0.7 99.0 99.00
2015 01 03 14 00  94  4.6  5.3 99.00 99.00 99.00 999 1034.4   2.9   4.6  -0.2 99.0 99.00
2015 01 03 15 00  76  4.1  4.5 99.00 99.00 99.00 999 1034.2   2.7   4.6   0.0 99.0 99.00
2015 01 03 16 00  57  3.8  4.2 99.00 99.00 99.00 999 1033.4   3.3   4.6   1.4 99.0 99.00
2015 01 03 17 00  61  2.1  2.6 99.00 99.00 99.00 999 1032.3   3.8   4.6   1.7 99.0 99.00
2015 01 03 18 00  47  1.4  1.8 99.00 99.00 99.00 999 1031.1   3.5   4.7   2.2 99.0 99.00
2015 01 03 19 00  21  4.7  4.9 99.00 99.00 99.00 999 1029.6   3.3   4.7   2.7 99.0 99.00
2015 01 03 20 00  25  3.0  3.2 99.00 99.00 99.00 999 1028.9   3.5   4.9   3.3 99.0 99.00
2015 01 03 21 00  14  3.8  4.1 99.00 99.00 99.00 999 1028.0   3.7   4.9   3.6 99.0 99.00
2015 01 03 22 00   2  3.7  3.8 99.00 99.00 99.00 999 1027.6   3.9   4.9   3.9 99.0 99.00
2015 01 03 23 00  21  3.4  3.7 99.00 99.00 99.00 999 1026.3   3.9   4.9   3.9 99.0 99.00
2015 01 04 00 00   8  3.5  3.7 99.00 99.00 99.00 999 1025.3   4.2   4.8   4.2 99.0 99.00
2015 01 04 01 00 357  2.7  2.9 99.00 99.00 99.00 999 1023.7   4.1   4.6   4.1 99.0 99.00
2015 01 04 02 00 340  4.0  4.2 99.00 99.00 99.00 999 1022.8   4.2   4.6   4.2 99.0 99.00
2015 01 04 03 00   7  2.2  2.4 99.00 99.00 99.00 999 1021.8   3.8   4.7   3.8 99.0 99.00
2015 01 04 04 00 259  1.5  1.7 99.00 99.00 99.00 999 1020.8   3.8   4.8   3.8 99.0 99.00
2015 01 04 05 00 263  3.2  3.6 99.00 99.00 99.00 999 1020.5   3.8   4.8   3.8 99.0 99.00
2015 01 04 06 00 235  2.5  2.7 99.00 99.00 99.00 999 1019.8   3.8   4.7   3.8 99.0 99.00
2015 01 04 07 00 187  4.7  5.1 99.00 99.00 99.00 999 1019.0   4.0   4.8   4.0 99.0 99.00
2015 01 04 08 00 175  8.6  9.3 99.00 99.00 99.00 999 1018.2   4.8   4.9   4.8 99.0 99.00
2015 01 04 09 00 183  8.5  9.1 99.00 99.00 99.00 999 1017.9   5.2   4.9   5.2 99.0 99.00
2015 01 04 10 00 171  8.5  9.0 99.00 99.00 99.00 999 1016.6   5.6   4.8   5.6 99.0 99.00
2015 01 04 11 00 201  5.5  5.9 99.00 99.00 99.00 999 1016.4   6.2   4.8   6.2 99.0 99.00
2015 01 04 12 00 187  8.6  9.0 99.00 99.00 99.00 999 1016.0   6.6   4.9   6.6 99.0 99.00
2015 01 04 13 00 169  7.9  8.2 99.00 99.00 99.00 999 1015.4   6.2   4.9   6.2 99.0 99.00
2015 01 04 14 00 174  7.7  8.1 99.00 99.00 99.00 999 1015.5   6.5   4.8   6.5 99.0 99.00
2015 01 04 15 00 169  7.6  7.9 99.00 99.00 99.00 999 1014.3   6.7   4.8   6.7 99.0 99.00
2015 01 04 16 00 194 13.5 14.2 99.00 99.00 99.00 999 1012.8   9.5   4.9   9.1 99.0 99.00
2015 01 04 17 00 185 12.3 13.1 99.00 99.00 99.00 999 1010.6   9.5   5.0   9.2 99.0 99.00
2015 01 04 18 00 181 10.5 11.6 99.00 99.00 99.00 999 1009.7  10.9   5.1   9.6 99.0 99.00
2015 01 04 19 00 168  5.4  5.8 99.00 99.00 99.00 999 1008.9  12.8   5.1  10.1 99.0 99.00
2015 01 04 20 00 161  6.2  6.5 99.00 99.00 99.00 999 1008.9  14.5   5.2  11.7 99.0 99.00
2015 01 04 21 00 170  7.1  7.2 99.00 99.00 99.00 999 1008.2  15.8   5.2  12.6 99.0 99.00
2015 01 04 22 00 223 10.8 11.7 99.00 99.00 99.00 999 1007.9  18.1   5.3  12.5 99.0 99.00
2015 01 04 23 00 223 13.0 14.8 99.00 99.00 99.00 999 1007.2  17.4   5.5  12.6 99.0 99.00
2015 01 05 00 00 225 10.7 12.0 99.00 99.00 99.00 999 1007.6  17.5   5.7  12.8 99.0 99.00
2015 01 05 01 00 304 19.3 21.8 99.00 99.00 99.00 999 1008.8  12.2   5.8  10.8 99.0 99.00
2015 01 05 02 00 301  7.6  9.7 99.00 99.00 99.00 999 1011.5  12.8   5.9   9.6 99.0 99.00
2015 01 05 03 00 303 11.3 13.1 99.00 99.00 99.00 999 1011.7  12.5   6.1   5.7 99.0 99.00
2015 01 05 04 00 301 10.1 11.2 99.00 99.00 99.00 999 1013.3  11.7   6.2   2.9 99.0 99.00
2015 01 05 05 00 308 10.6 12.7 99.00 99.00 99.00 999 1014.6  10.5   6.3   1.6 99.0 99.00
2015 01 05 06 00 295 12.1 13.4 99.00 99.00 99.00 999 1015.9   9.2   6.1  -1.6 99.0 99.00
2015 01 05 07 00 288 14.4 15.8 99.00 99.00 99.00 999 1017.1   8.0   6.0  -2.8 99.0 99.00
2015 01 05 08 00 290  9.2 10.3 99.00 99.00 99.00 999 1018.5   7.0   5.9  -2.2 99.0 99.00
2015 01 05 09 00 299  8.3  9.3 99.00 99.00 99.00 999 1019.2   6.4   6.0  -2.5 99.0 99.00
2015 01 05 10 00 304 12.3 14.8 99.00 99.00 99.00 999 1019.4   5.9   5.9  -4.2 99.0 99.00
2015 01 05 11 00 288 11.9 13.2 99.00 99.00 99.00 999 1021.6   5.6   5.8  -4.5 99.0 99.00
2015 01 05 12 00 292  9.1 11.5 99.00 99.00 99.00 999 1022.5   5.2   5.6  -4.4 99.0 99.00
2015 01 05 13 00 309  8.2  9.5 99.00 99.00 99.00 999 1023.8   5.0   5.6  -5.5 99.0 99.00
