date,discharge,acc_flow_30d,acc_flow_60d,acc_flow_90d
1984-07-01,2740,97550.0,467910.0,1074510.0
1984-07-02,3520,95320.0,460430.0,1059130.0
1984-07-03,3470,93470.0,451600.0,1045500.0
1984-07-04,3620,92050.0,433820.0,1020020.0
1984-07-05,3500,90930.0,419720.0,980620.0
1984-07-06,3000,89280.0,397920.0,952920.0
1984-07-07,3940,88780.0,368660.0,932160.0
1984-07-08,5120,89880.0,342880.0,918180.0
1984-07-09,3740,89920.0,321520.0,906220.0
1984-07-10,2550,88930.0,303770.0,895170.0
1984-07-11,2840,88500.0,290210.0,885610.0
1984-07-12,3270,88700.0,280080.0,876780.0
1984-07-13,2770,88400.0,271250.0,865050.0
1984-07-14,2330,87530.0,263280.0,840380.0
1984-07-15,2430,87240.0,256160.0,813210.0
1984-07-16,2520,86960.0,250000.0,789830.0
1984-07-17,1970,86380.0,244510.0,769500.0
1984-07-18,2480,86060.0,239790.0,752980.0
1984-07-19,3020,86460.0,236240.0,740300.0
1984-07-20,3070,86560.0,233150.0,729870.0
1984-07-21,3270,86910.0,230500.0,720540.0
1984-07-22,8560,92990.0,233080.0,705700.0
1984-07-23,9250,100050.0,236440.0,685950.0
1984-07-24,6660,104520.0,236030.0,664110.0
1984-07-25,5950,108040.0,236170.0,646660.0
1984-07-26,4650,110360.0,234690.0,631910.0
1984-07-27,4100,111690.0,233100.0,620310.0
1984-07-28,3820,112890.0,230620.0,610530.0
1984-07-29,3900,114460.0,223920.0,601630.0
1984-07-30,3700,115760.0,217900.0,593430.0
1984-07-31,3170,116190.0,213740.0,584100.0
1984-08-01,3040,115710.0,211030.0,576140.0
1984-08-02,3000,115240.0,208710.0,566840.0
1984-08-03,2700,114320.0,206370.0,548140.0
1984-08-04,2940,113760.0,204690.0,533480.0
1984-08-05,3440,114200.0,203480.0,512120.0
1984-08-06,5730,115990.0,204770.0,484650.0
1984-08-07,4240,115110.0,204990.0,457990.0
1984-08-08,3840,115210.0,205130.0,436730.0
1984-08-09,3620,116280.0,205210.0,420050.0
1984-08-10,3140,116580.0,205080.0,406790.0
1984-08-11,5010,118320.0,207020.0,398400.0
1984-08-12,13400,128950.0,217350.0,400200.0
1984-08-13,29800,156420.0,243950.0,419700.0
1984-08-14,37700,191690.0,278930.0,447850.0
1984-08-15,40100,229270.0,316230.0,479270.0
1984-08-16,28600,255900.0,342280.0,500410.0
1984-08-17,19100,272520.0,358580.0,512310.0
1984-08-18,14200,283700.0,370160.0,519940.0
1984-08-19,10200,290830.0,377390.0,523980.0
1984-08-20,8610,296170.0,383080.0,526670.0
1984-08-21,6940,294550.0,387540.0,527630.0
1984-08-22,6360,291660.0,391710.0,528100.0
1984-08-23,5550,290550.0,395070.0,526580.0
1984-08-24,4910,289510.0,397550.0,525680.0
1984-08-25,4600,289460.0,399820.0,524150.0
1984-08-26,4170,289530.0,401220.0,522630.0
1984-08-27,3920,289630.0,402520.0,520250.0
1984-08-28,3640,289370.0,403830.0,513290.0
1984-08-29,3520,289190.0,404950.0,507090.0
1984-08-30,3420,289440.0,405630.0,503180.0
1984-08-31,3370,289770.0,405480.0,500800.0
1984-09-01,3500,290270.0,405510.0,498980.0
1984-09-02,7040,294610.0,408930.0,500980.0
1984-09-03,8110,299780.0,413540.0,504470.0
1984-09-04,5580,301920.0,416120.0,505400.0
1984-09-05,4650,300840.0,416830.0,505610.0
1984-09-06,4440,301040.0,416150.0,506030.0
1984-09-07,4040,301240.0,416450.0,506370.0
