date,discharge,acc_flow_30d,acc_flow_60d,acc_flow_90d
1984-07-01,44400,1455920.0,3670820.0,7550120.0
1984-07-02,55300,1379220.0,3662020.0,7507220.0
1984-07-03,65500,1343720.0,3659020.0,7462720.0
1984-07-04,63800,1326920.0,3649920.0,7369520.0
1984-07-05,58800,1315520.0,3665120.0,7136320.0
1984-07-06,52900,1308420.0,3650120.0,6783220.0
1984-07-07,71100,1323420.0,3653520.0,6504320.0
1984-07-08,65400,1342020.0,3648720.0,6321720.0
1984-07-09,65400,1372620.0,3646120.0,6213120.0
1984-07-10,73900,1427320.0,3661920.0,6154020.0
1984-07-11,65500,1455920.0,3664120.0,6106520.0
1984-07-12,57600,1487820.0,3664420.0,6069520.0
1984-07-13,48100,1507320.0,3644620.0,6030220.0
1984-07-14,29200,1502720.0,3602520.0,5985020.0
1984-07-15,25600,1507920.0,3550620.0,5933820.0
1984-07-16,40000,1535620.0,3501220.0,5867820.0
1984-07-17,31400,1559200.0,3446520.0,5783220.0
1984-07-18,26100,1545900.0,3406620.0,5692320.0
1984-07-19,26400,1517900.0,3379920.0,5609720.0
1984-07-20,26900,1471400.0,3349220.0,5529620.0
1984-07-21,15800,1408700.0,3313820.0,5442420.0
1984-07-22,12500,1349200.0,3264220.0,5357820.0
1984-07-23,27000,1319200.0,3227620.0,5292020.0
1984-07-24,22300,1310800.0,3190920.0,5229820.0
1984-07-25,20200,1278500.0,3156520.0,5169620.0
1984-07-26,17300,1251500.0,3122620.0,5099420.0
1984-07-27,18200,1224600.0,3094220.0,5031320.0
1984-07-28,11100,1192900.0,3052220.0,4973820.0
1984-07-29,9550,1168950.0,2946770.0,4908370.0
1984-07-30,24800,1172050.0,2763570.0,4860170.0
1984-07-31,26800,1154450.0,2610370.0,4825270.0
1984-08-01,27400,1126550.0,2505770.0,4788570.0
1984-08-02,19600,1080650.0,2424370.0,4739670.0
1984-08-03,22700,1039550.0,2366470.0,4689470.0
1984-08-04,5030,985780.0,2301300.0,4650900.0
1984-08-05,5510,938390.0,2246810.0,4588510.0
1984-08-06,27500,894790.0,2218210.0,4548310.0
1984-08-07,23000,852390.0,2194410.0,4501110.0
1984-08-08,20400,807390.0,2180010.0,4453510.0
1984-08-09,21800,755290.0,2182610.0,4417210.0
1984-08-10,25300,715090.0,2171010.0,4379210.0
1984-08-11,12000,669490.0,2157310.0,4333910.0
1984-08-12,19100,640490.0,2147810.0,4285110.0
1984-08-13,30100,641390.0,2144110.0,4243910.0
1984-08-14,42800,658590.0,2166510.0,4209210.0
1984-08-15,61200,679790.0,2215410.0,4181010.0
1984-08-16,61600,709990.0,2269190.0,4156510.0
1984-08-17,57100,740990.0,2286890.0,4147610.0
1984-08-18,53400,767990.0,2285890.0,4147910.0
1984-08-19,39000,780090.0,2251490.0,4129310.0
1984-08-20,41300,805590.0,2214290.0,4119410.0
1984-08-21,32100,825190.0,2174390.0,4089410.0
1984-08-22,33800,831990.0,2151190.0,4059610.0
1984-08-23,39000,848690.0,2159490.0,4039610.0
1984-08-24,29300,857790.0,2136290.0,4014310.0
1984-08-25,15600,856090.0,2107590.0,3978710.0
1984-08-26,12400,850290.0,2074890.0,3944510.0
1984-08-27,27300,866490.0,2059390.0,3918710.0
1984-08-28,21900,878840.0,2047790.0,3825610.0
1984-08-29,24000,878040.0,2050090.0,3641610.0
1984-08-30,20500,871740.0,2026190.0,3482110.0
1984-08-31,21800,866140.0,1992690.0,3371910.0
1984-09-01,6950,853490.0,1934140.0,3277860.0
1984-09-02,5110,835900.0,1875450.0,3202370.0
1984-09-03,8090,838960.0,1824740.0,3140260.0
1984-09-04,18100,851550.0,1789940.0,3098360.0
1984-09-05,18100,842150.0,1736940.0,3060360.0
1984-09-06,24100,843250.0,1695640.0,3037660.0
1984-09-07,11600,834450.0,1641840.0,3014460.0
1984-09-08,7520,820170.0,1575460.0,3002780.0
1984-09-09,5310,800180.0,1515270.0,2971190.0
1984-09-10,15600,803780.0,1473270.0,2961090.0
1984-09-11,15100,799780.0,1440270.0,2947590.0
1984-09-12,11200,780880.0,1422270.0,2924990.0
1984-09-13,9820,747900.0,1406490.0,2914410.0
1984-09-14,10400,697100.0,1376890.0,2912510.0
1984-09-15,5170,640670.0,1350660.0,2909860.0
1984-09-16,2640,586210.0,1327200.0,2873100.0
1984-09-17,14800,547610.0,1315600.0,2833500.0
1984-09-18,7940,516550.0,1296640.0,2768040.0
1984-09-19,12200,487450.0,1293040.0,2701740.0
1984-09-20,15100,470450.0,1295640.0,2644840.0
1984-09-21,13000,449650.0,1281640.0,2600840.0
