Station,SampleDate,MeasureValue,Latitude,Longitude
CB2.1,2020-05-26,2.136,39.44149,-76.02599
CB2.1,2020-06-12,5.554,39.44149,-76.02599
CB2.1,2020-06-26,7.262,39.44149,-76.02599
CB2.1,2020-07-08,8.9,39.44149,-76.02599
CB2.1,2020-08-11,21.716,39.44149,-76.02599
CB2.1,2020-08-26,18.69,39.44149,-76.02599
CB2.1,2020-09-24,4.272,39.44149,-76.02599
CB2.1,2020-10-27,1.922,39.44149,-76.02599
CB2.1,2020-11-11,4.672,39.44149,-76.02599
CB2.1,2020-12-23,1.424,39.44149,-76.02599
CB2.1,2021-01-13,0.62,39.44149,-76.02599
CB2.1,2021-02-10,1.869,39.44149,-76.02599
CB2.1,2021-03-18,0.854,39.44149,-76.02599
CB2.1,2021-04-07,9.968,39.44149,-76.02599
CB2.1,2021-05-12,2.67,39.44149,-76.02599
CB2.1,2021-06-03,11.481,39.44149,-76.02599
CB2.1,2021-06-24,5.696,39.44149,-76.02599
CB2.1,2021-07-08,7.476,39.44149,-76.02599
CB2.1,2021-08-04,12.816,39.44149,-76.02599
CB2.1,2021-08-25,,39.44149,-76.02599
CB2.1,2021-09-15,8.544,39.44149,-76.02599
CB2.1,2021-10-06,2.136,39.44149,-76.02599
CB2.1,2021-11-18,0.854,39.44149,-76.02599
CB2.1,2021-12-09,4.486,39.44149,-76.02599
CB2.1,2022-02-09,5.607,39.44149,-76.02599
CB2.1,2022-03-16,,39.44149,-76.02599
CB2.1,2022-04-13,2.848,39.44149,-76.02599
CB2.1,2022-05-18,4.984,39.44149,-76.02599
CB2.1,2022-06-08,17.729,39.44149,-76.02599
CB2.1,2022-06-30,6.141,39.44149,-76.02599
CB2.1,2022-07-14,5.981,39.44149,-76.02599
CB2.1,2022-08-10,18.583,39.44149,-76.02599
CB2.1,2022-08-24,10.466,39.44149,-76.02599
CB2.1,2022-09-14,4.699,39.44149,-76.02599
CB2.1,2022-10-07,1.922,39.44149,-76.02599
CB2.1,2022-11-16,3.662,39.44149,-76.02599
CB2.1,2022-12-07,3.845,39.44149,-76.02599
CB2.1,2023-01-11,1.78,39.44149,-76.02599
CB2.1,2023-02-16,5.34,39.44149,-76.02599
CB2.1,2023-03-17,4.628,39.44149,-76.02599
CB2.1,2023-04-12,8.01,39.44149,-76.02599
CB2.1,2023-05-10,5.696,39.44149,-76.02599
CB2.1,2023-06-07,12.602,39.44149,-76.02599
CB2.1,2023-06-28,23.496,39.44149,-76.02599
CB2.1,2023-07-12,9.612,39.44149,-76.02599
CB2.1,2023-08-09,12.602,39.44149,-76.02599
CB2.1,2023-08-30,6.141,39.44149,-76.02599
CB2.1,2023-09-13,9.612,39.44149,-76.02599
CB2.1,2023-10-06,4.913,39.44149,-76.02599
CB2.1,2023-11-17,4.005,39.44149,-76.02599
CB2.1,2023-12-14,2.777,39.44149,-76.02599
CB2.1,2024-01-25,1.068,39.44149,-76.02599
CB2.1,2024-02-26,8.758,39.44149,-76.02599
CB2.1,2024-03-19,4.272,39.44149,-76.02599
